Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
AgO2,Cubic,Pn-3m,224,6,0.703531501,0.391295589,FALSE,98.07180209,4.736419902,FALSE,TRUE,FM,1.5240345,0
PtO2,Cubic,Pn-3m,224,6,0.793669622,-0.132933502,FALSE,90.14336336,8.36622568,FALSE,TRUE,NM,0.2764453,0
SiO2,Cubic,Pn-3m,224,144,0.498932975,-2.773898368,FALSE,2022.599576,2.367780442,FALSE,FALSE,NM,0.0002308,1.9958
SiO2,Cubic,Fm-3m,225,3,1.277943534,-1.99488781,FALSE,24.06255943,4.146372198,FALSE,FALSE,NM,3.96E-05,1.7396
TiO2,Cubic,Fm-3m,225,3,0.308324844,-3.199730608,FALSE,28.344976,4.678793201,FALSE,FALSE,NM,9.66E-05,1.0565
RuO2,Cubic,Fm-3m,225,3,0.188058738,-1.26960316,FALSE,28.64774597,7.713205121,FALSE,FALSE,NM,0.0005869,0.6072
CrO2,Cubic,Fm-3m,225,3,0.192758305,-1.854942557,FALSE,27.06684652,5.153049977,FALSE,TRUE,FiM,1.9987035,0
LiO2,Cubic,Fm-3m,225,3,0.686007032,-0.439976998,FALSE,24.86859226,2.600109346,FALSE,TRUE,FM,1.0783597,0
EuO2,Cubic,Fm-3m,225,6,0.228789993,-2.642187138,FALSE,81.6551774,7.482132204,FALSE,TRUE,FiM,9.9999998,0
Rb2O2,Cubic,Fm-3m,225,2,0.33423944,-0.898754121,FALSE,48.55460228,3.470119035,FALSE,TRUE,FM,1.0000261,0
Cs2O2,Cubic,Fm-3m,225,2,0.301072505,-0.923150847,FALSE,55.6229244,4.445331245,FALSE,TRUE,FM,0.9999629,0
